Arguments: {'model_path': 'checkpoint_epoch_5.pth', 'batch_size': 512, 'epochs': 100, 'log_dir': './logs'}
Test Epoch: [58/100] Loss: 0.4088 ACC@1: 86.02% ACC@5: 99.49%
Train Epoch: [59/100] Loss: 0.6476 ACC@1: 77.63% ACC@5: 97.87%
Test Epoch: [59/100] Loss: 0.4148 ACC@1: 85.87% ACC@5: 99.48%
Train Epoch: [60/100] Loss: 0.6495 ACC@1: 77.61% ACC@5: 97.81%
Test Epoch: [60/100] Loss: 0.4115 ACC@1: 85.88% ACC@5: 99.51%
Train Epoch: [61/100] Loss: 0.6457 ACC@1: 77.84% ACC@5: 97.90%
Test Epoch: [61/100] Loss: 0.4165 ACC@1: 85.79% ACC@5: 99.45%
Train Epoch: [62/100] Loss: 0.6476 ACC@1: 77.71% ACC@5: 97.89%
Test Epoch: [62/100] Loss: 0.4145 ACC@1: 85.82% ACC@5: 99.50%
Train Epoch: [63/100] Loss: 0.6460 ACC@1: 77.78% ACC@5: 97.95%
Test Epoch: [63/100] Loss: 0.4217 ACC@1: 85.73% ACC@5: 99.51%
Train Epoch: [64/100] Loss: 0.6486 ACC@1: 77.76% ACC@5: 97.86%
Test Epoch: [64/100] Loss: 0.4155 ACC@1: 85.66% ACC@5: 99.46%
Train Epoch: [65/100] Loss: 0.6451 ACC@1: 77.76% ACC@5: 97.94%
Test Epoch: [65/100] Loss: 0.4131 ACC@1: 85.94% ACC@5: 99.52%
Train Epoch: [66/100] Loss: 0.6437 ACC@1: 77.97% ACC@5: 97.79%
Test Epoch: [66/100] Loss: 0.4100 ACC@1: 85.88% ACC@5: 99.49%
Train Epoch: [67/100] Loss: 0.6456 ACC@1: 77.96% ACC@5: 97.87%
Test Epoch: [67/100] Loss: 0.4172 ACC@1: 86.00% ACC@5: 99.51%
Train Epoch: [68/100] Loss: 0.6414 ACC@1: 77.86% ACC@5: 97.93%
Test Epoch: [68/100] Loss: 0.4111 ACC@1: 85.98% ACC@5: 99.50%
Train Epoch: [69/100] Loss: 0.6479 ACC@1: 77.53% ACC@5: 97.95%
Test Epoch: [69/100] Loss: 0.4103 ACC@1: 85.95% ACC@5: 99.53%
Train Epoch: [70/100] Loss: 0.6458 ACC@1: 77.88% ACC@5: 97.89%
Test Epoch: [70/100] Loss: 0.4154 ACC@1: 85.86% ACC@5: 99.42%
Train Epoch: [71/100] Loss: 0.6388 ACC@1: 78.13% ACC@5: 97.96%
Test Epoch: [71/100] Loss: 0.4065 ACC@1: 86.04% ACC@5: 99.41%
Train Epoch: [72/100] Loss: 0.6389 ACC@1: 77.81% ACC@5: 97.92%
Test Epoch: [72/100] Loss: 0.4118 ACC@1: 85.77% ACC@5: 99.44%
Train Epoch: [73/100] Loss: 0.6474 ACC@1: 77.68% ACC@5: 97.76%
Test Epoch: [73/100] Loss: 0.4072 ACC@1: 86.11% ACC@5: 99.51%
Train Epoch: [74/100] Loss: 0.6394 ACC@1: 78.18% ACC@5: 97.91%
Test Epoch: [74/100] Loss: 0.4084 ACC@1: 86.12% ACC@5: 99.49%
Train Epoch: [75/100] Loss: 0.6442 ACC@1: 77.71% ACC@5: 97.91%
Test Epoch: [75/100] Loss: 0.4185 ACC@1: 85.85% ACC@5: 99.51%
Train Epoch: [76/100] Loss: 0.6381 ACC@1: 77.93% ACC@5: 97.97%
Test Epoch: [76/100] Loss: 0.4114 ACC@1: 86.08% ACC@5: 99.49%
Train Epoch: [77/100] Loss: 0.6359 ACC@1: 78.12% ACC@5: 97.98%
Test Epoch: [77/100] Loss: 0.4095 ACC@1: 86.19% ACC@5: 99.49%
Train Epoch: [78/100] Loss: 0.6491 ACC@1: 77.52% ACC@5: 97.83%
Test Epoch: [78/100] Loss: 0.4067 ACC@1: 86.07% ACC@5: 99.46%
Train Epoch: [79/100] Loss: 0.6410 ACC@1: 77.96% ACC@5: 97.81%
Test Epoch: [79/100] Loss: 0.4154 ACC@1: 85.87% ACC@5: 99.47%
Train Epoch: [80/100] Loss: 0.6365 ACC@1: 78.13% ACC@5: 97.92%
Test Epoch: [80/100] Loss: 0.4066 ACC@1: 86.08% ACC@5: 99.45%
Train Epoch: [81/100] Loss: 0.6433 ACC@1: 77.99% ACC@5: 97.84%
Test Epoch: [81/100] Loss: 0.4025 ACC@1: 86.17% ACC@5: 99.51%
Train Epoch: [82/100] Loss: 0.6423 ACC@1: 77.94% ACC@5: 97.87%
Test Epoch: [82/100] Loss: 0.4178 ACC@1: 85.77% ACC@5: 99.51%
Train Epoch: [83/100] Loss: 0.6436 ACC@1: 78.01% ACC@5: 97.85%
Test Epoch: [83/100] Loss: 0.4188 ACC@1: 85.60% ACC@5: 99.44%
Train Epoch: [84/100] Loss: 0.6458 ACC@1: 77.74% ACC@5: 97.90%
Test Epoch: [84/100] Loss: 0.4078 ACC@1: 86.01% ACC@5: 99.46%
Train Epoch: [85/100] Loss: 0.6405 ACC@1: 77.96% ACC@5: 97.91%
Test Epoch: [85/100] Loss: 0.4100 ACC@1: 85.99% ACC@5: 99.43%
Train Epoch: [86/100] Loss: 0.6382 ACC@1: 78.19% ACC@5: 98.00%
Test Epoch: [86/100] Loss: 0.4048 ACC@1: 86.05% ACC@5: 99.48%
Train Epoch: [87/100] Loss: 0.6429 ACC@1: 78.00% ACC@5: 97.94%
Test Epoch: [87/100] Loss: 0.4065 ACC@1: 86.01% ACC@5: 99.48%
Train Epoch: [88/100] Loss: 0.6430 ACC@1: 77.83% ACC@5: 97.94%
Test Epoch: [88/100] Loss: 0.4083 ACC@1: 86.09% ACC@5: 99.49%
Train Epoch: [89/100] Loss: 0.6434 ACC@1: 77.88% ACC@5: 97.90%
Test Epoch: [89/100] Loss: 0.4116 ACC@1: 85.96% ACC@5: 99.47%
Train Epoch: [90/100] Loss: 0.6420 ACC@1: 77.94% ACC@5: 97.82%
Test Epoch: [90/100] Loss: 0.4062 ACC@1: 86.18% ACC@5: 99.48%
Train Epoch: [91/100] Loss: 0.6332 ACC@1: 77.99% ACC@5: 98.04%
Test Epoch: [91/100] Loss: 0.4063 ACC@1: 86.16% ACC@5: 99.47%
Train Epoch: [92/100] Loss: 0.6329 ACC@1: 78.14% ACC@5: 97.96%
Test Epoch: [92/100] Loss: 0.4080 ACC@1: 86.04% ACC@5: 99.47%
Train Epoch: [93/100] Loss: 0.6381 ACC@1: 78.04% ACC@5: 97.86%
Test Epoch: [93/100] Loss: 0.4141 ACC@1: 85.74% ACC@5: 99.43%
Train Epoch: [94/100] Loss: 0.6420 ACC@1: 77.87% ACC@5: 97.92%
Test Epoch: [94/100] Loss: 0.4089 ACC@1: 85.96% ACC@5: 99.48%
Train Epoch: [95/100] Loss: 0.6402 ACC@1: 77.94% ACC@5: 97.88%
Test Epoch: [95/100] Loss: 0.4043 ACC@1: 86.33% ACC@5: 99.47%
Train Epoch: [96/100] Loss: 0.6361 ACC@1: 78.08% ACC@5: 97.89%
Test Epoch: [96/100] Loss: 0.4046 ACC@1: 86.26% ACC@5: 99.47%
Train Epoch: [97/100] Loss: 0.6446 ACC@1: 77.88% ACC@5: 97.89%
Test Epoch: [97/100] Loss: 0.4059 ACC@1: 86.05% ACC@5: 99.49%
Train Epoch: [98/100] Loss: 0.6408 ACC@1: 77.78% ACC@5: 97.91%
Test Epoch: [98/100] Loss: 0.4025 ACC@1: 86.28% ACC@5: 99.48%
Train Epoch: [99/100] Loss: 0.6341 ACC@1: 78.16% ACC@5: 97.96%
Test Epoch: [99/100] Loss: 0.4064 ACC@1: 86.12% ACC@5: 99.44%
Train Epoch: [100/100] Loss: 0.6403 ACC@1: 77.92% ACC@5: 97.90%
Test Epoch: [100/100] Loss: 0.4144 ACC@1: 85.59% ACC@5: 99.44% 


Best ACC@1: 86.33%
